Constituency,constituency,max_votes,winner_party,State
Sitapur - 30,Sitapur - 30,531138,Indian National Congress,Uttar Pradesh
Siwan - 18,Siwan - 18,386508,Janata Dal (United),Bihar
Solapur - 42,Solapur - 42,620225,Indian National Congress,Maharashtra
Sonitpur - 11,Sonitpur - 11,775788,Bharatiya Janata Party,Assam
South Delhi - 7,South Delhi - 7,692832,Bharatiya Janata Party,NCT OF Delhi
South Goa - 2,South Goa - 2,217836,Indian National Congress,Goa
Srerampur - 27,Srerampur - 27,673970,All India Trinamool Congress,West Bengal
Srikakulam - 2,Srikakulam - 2,754328,Telugu Desam,Andhra Pradesh
Sultanpur - 38,Sultanpur - 38,444330,Samajwadi Party,Uttar Pradesh
Sundargarh - 2,Sundargarh - 2,494282,Bharatiya Janata Party,Odisha
Supaul - 8,Supaul - 8,595038,Janata Dal (United),Bihar
Surat - 24,Surat - 24,-,Bharatiya Janata Party,Gujarat
Surendranagar - 9,Surendranagar - 9,669749,Bharatiya Janata Party,Gujarat
TENKASI - 37,TENKASI - 37,425679,Dravida Munnetra Kazhagam,Tamil Nadu
THANJAVUR - 30,THANJAVUR - 30,502245,Dravida Munnetra Kazhagam,Tamil Nadu
THENI - 33,THENI - 33,571493,Dravida Munnetra Kazhagam,Tamil Nadu
THOOTHUKKUDI - 36,THOOTHUKKUDI - 36,540729,Dravida Munnetra Kazhagam,Tamil Nadu
TIKAMGARH - 6,TIKAMGARH - 6,715050,Bharatiya Janata Party,Madhya Pradesh
TIRUCHIRAPPALLI - 24,TIRUCHIRAPPALLI - 24,542213,Marumalarchi Dravida Munnetra Kazhagam,Tamil Nadu
TIRUNELVELI - 38,TIRUNELVELI - 38,502296,Indian National Congress,Tamil Nadu
TIRUPPUR - 18,TIRUPPUR - 18,472739,Communist Party of India,Tamil Nadu
TIRUVALLUR - 1,TIRUVALLUR - 1,796956,Indian National Congress,Tamil Nadu
TIRUVANNAMALAI - 11,TIRUVANNAMALAI - 11,547379,Dravida Munnetra Kazhagam,Tamil Nadu
TONK-SAWAI MADHOPUR - 12,TONK-SAWAI MADHOPUR - 12,623763,Indian National Congress,Rajasthan
Tamluk - 30,Tamluk - 30,765584,Bharatiya Janata Party,West Bengal
Tehri Garhwal - 1,Tehri Garhwal - 1,462603,Bharatiya Janata Party,Uttarakhand
Thane - 25,Thane - 25,734231,Shiv Sena,Maharashtra
Thirupathi(SC) - 23,Thirupathi(SC) - 23,632228,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh
Thiruvananthapuram - 20,Thiruvananthapuram - 20,358155,Indian National Congress,Kerala
Thrissur - 10,Thrissur - 10,412338,Bharatiya Janata Party,Kerala
Tripura East - 2,Tripura East - 2,777447,Bharatiya Janata Party,Tripura
Tripura West - 1,Tripura West - 1,881341,Bharatiya Janata Party,Tripura
Tumkur - 19,Tumkur - 19,720946,Bharatiya Janata Party,Karnataka
Tura - 2,Tura - 2,383919,Indian National Congress,Meghalaya
UDAIPUR - 19,UDAIPUR - 19,738286,Bharatiya Janata Party,Rajasthan
UDHAMPUR - 4,UDHAMPUR - 4,571076,Bharatiya Janata Party,Jammu and Kashmir
UJJAIN - 22,UJJAIN - 22,836104,Bharatiya Janata Party,Madhya Pradesh
Udupi Chikmagalur - 15,Udupi Chikmagalur - 15,732234,Bharatiya Janata Party,Karnataka
Ujiarpur - 22,Ujiarpur - 22,515965,Bharatiya Janata Party,Bihar
Uluberia - 26,Uluberia - 26,724622,All India Trinamool Congress,West Bengal
Unnao - 33,Unnao - 33,616133,Bharatiya Janata Party,Uttar Pradesh
Uttara Kannada - 12,Uttara Kannada - 12,782495,Bharatiya Janata Party,Karnataka
VELLORE - 8,VELLORE - 8,568692,Dravida Munnetra Kazhagam,Tamil Nadu
VIDISHA - 18,VIDISHA - 18,1116460,Bharatiya Janata Party,Madhya Pradesh
VILUPPURAM - 13,VILUPPURAM - 13,477033,Viduthalai Chiruthaigal Katchi,Tamil Nadu
VIRUDHUNAGAR - 34,VIRUDHUNAGAR - 34,385256,Indian National Congress,Tamil Nadu
Vadakara - 3,Vadakara - 3,557528,Indian National Congress,Kerala
Vadodara - 20,Vadodara - 20,873189,Bharatiya Janata Party,Gujarat
Vaishali - 16,Vaishali - 16,567043,Lok Janshakti Party(Ram Vilas),Bihar
Valmiki Nagar - 1,Valmiki Nagar - 1,523422,Janata Dal (United),Bihar
Valsad - 26,Valsad - 26,764226,Bharatiya Janata Party,Gujarat
Varanasi - 77,Varanasi - 77,612970,Bharatiya Janata Party,Uttar Pradesh
Vijayawada - 12,Vijayawada - 12,794154,Telugu Desam,Andhra Pradesh
Visakhapatnam - 4,Visakhapatnam - 4,907467,Telugu Desam,Andhra Pradesh
Vizianagaram - 3,Vizianagaram - 3,743113,Telugu Desam,Andhra Pradesh
Warangal - 15,Warangal - 15,581294,Indian National Congress,Telangana
Wardha - 8,Wardha - 8,533106,Nationalist Congress Party  Sharadchandra Pawar,Maharashtra
Wayanad - 4,Wayanad - 4,647445,Indian National Congress,Kerala
West Delhi - 6,West Delhi - 6,842658,Bharatiya Janata Party,NCT OF Delhi
Yavatmal- Washim - 14,Yavatmal- Washim - 14,594807,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra
Zahirabad - 5,Zahirabad - 5,528418,Indian National Congress,Telangana
